CBS News|2016-05-06|599909|Clinton
CBS News|2016-05-06|308130|Sanders
CBS News|2016-05-07|237818|Clinton
CBS News|2016-05-07|376449|Sanders
CBS News|2016-05-08|265988|Clinton
CBS News|2016-05-08|397146|Sanders
CBS News|2016-05-09|628304|Clinton
CBS News|2016-05-09|375174|Sanders
CBS News|2016-05-10|685463|Clinton
CBS News|2016-05-10|784773|Sanders
CBS News|2016-05-11|745802|Clinton
CBS News|2016-05-11|716818|Sanders
CBS News|2016-05-12|647032|Clinton
CBS News|2016-05-12|466534|Sanders
CBS News|2016-05-13|665835|Clinton
CBS News|2016-05-13|339934|Sanders
CBS News|2016-05-14|375964|Clinton
CBS News|2016-05-14|370390|Sanders
CBS News|2016-05-15|362754|Clinton
CBS News|2016-05-15|178447|Sanders
CBS News|2016-05-16|1018786|Clinton
CBS News|2016-05-16|248650|Sanders
CBS News|2016-05-17|886349|Clinton
CBS News|2016-05-17|253239|Sanders
CBS News|2016-05-18|851356|Clinton
CBS News|2016-05-18|867390|Sanders
CBS News|2016-05-19|769885|Clinton
CBS News|2016-05-19|392781|Sanders
CBS News|2016-05-20|857728|Clinton
CBS News|2016-05-20|528582|Sanders
