Quinnipiac University|2016-05-17|886349|Clinton
Quinnipiac University|2016-05-17|253239|Sanders
Quinnipiac University|2016-05-18|851356|Clinton
Quinnipiac University|2016-05-18|867390|Sanders
Quinnipiac University|2016-05-19|769885|Clinton
Quinnipiac University|2016-05-19|392781|Sanders
Quinnipiac University|2016-05-20|857728|Clinton
Quinnipiac University|2016-05-20|528582|Sanders
Quinnipiac University|2016-05-21|259136|Clinton
Quinnipiac University|2016-05-21|673742|Sanders
Quinnipiac University|2016-05-22|335107|Clinton
Quinnipiac University|2016-05-22|554552|Sanders
Quinnipiac University|2016-05-23|757692|Clinton
Quinnipiac University|2016-05-23|259636|Sanders
Quinnipiac University|2016-05-24|558636|Clinton
Quinnipiac University|2016-05-24|317333|Sanders
Quinnipiac University|2016-05-25|497909|Clinton
Quinnipiac University|2016-05-25|227569|Sanders
Quinnipiac University|2016-05-26|515064|Clinton
Quinnipiac University|2016-05-26|526656|Sanders
Quinnipiac University|2016-05-27|701205|Clinton
Quinnipiac University|2016-05-27|492740|Sanders
Quinnipiac University|2016-05-28|321208|Clinton
Quinnipiac University|2016-05-28|560146|Sanders
Quinnipiac University|2016-05-29|328898|Clinton
Quinnipiac University|2016-05-29|224028|Sanders
Quinnipiac University|2016-05-30|316713|Clinton
Quinnipiac University|2016-05-30|219888|Sanders
Quinnipiac University|2016-05-31|1225755|Clinton
Quinnipiac University|2016-05-31|2380008|Sanders
